n,p,r_star,r0,h,alpha,q,reps,seed,center,critical_local,mean_local,critical_max,mean_max
500,200,8,0,8,0.01,0.99,2000,20260606,True,24.723056824220922,4.0479094496921935,49.1297314592064,7.744907031542512
500,200,8,1,7,0.01,0.99,2000,20260606,True,20.46277087866087,3.31780107101924,44.27669871184836,7.298620300916476
500,200,8,2,6,0.01,0.99,2000,20260606,True,18.90828271081643,3.2764086882905,41.09468218714836,6.920109350849143
500,200,8,3,5,0.01,0.99,2000,20260606,True,19.96919330308164,3.324126142781837,41.09468218714836,6.476672840812973
500,200,8,4,4,0.01,0.99,2000,20260606,True,20.64668175132398,3.0883923893472693,39.86037745088238,5.4339076207785855
500,200,8,5,3,0.01,0.99,2000,20260606,True,17.98555714849851,2.7922190008086036,32.86591715227002,4.6594894160655524
500,200,8,6,2,0.01,0.99,2000,20260606,True,22.59572249508028,2.594077161732801,26.250430160731437,3.7664733725613124
500,200,8,7,1,0.01,0.99,2000,20260606,True,14.77771634282618,2.2629899263636433,14.77771634282618,2.2629899263636433
500,750,8,0,8,0.01,0.99,2000,20260606,True,24.415217175005836,3.904440798185721,43.38655297410679,7.14101472341614
500,750,8,1,7,0.01,0.99,2000,20260606,True,24.277068732682835,3.7491246813521535,42.966202142762356,6.750965104547995
500,750,8,2,6,0.01,0.99,2000,20260606,True,24.72614347025479,3.7388009076687476,36.16152382825605,6.179530490778711
500,750,8,3,5,0.01,0.99,2000,20260606,True,27.408175013956463,3.3506682020734626,32.9419696916015,5.657983414786539
500,750,8,4,4,0.01,0.99,2000,20260606,True,23.65333601850414,3.2449264147310215,32.18331888180857,5.068742733759021
500,750,8,5,3,0.01,0.99,2000,20260606,True,17.581255731037952,2.823090731273416,29.43837691963037,4.476533571252074
500,750,8,6,2,0.01,0.99,2000,20260606,True,17.131601674395448,2.5468125411960516,21.051508417810606,3.626754590798725
500,750,8,7,1,0.01,0.99,2000,20260606,True,16.72487436087378,2.4089292454900355,16.72487436087378,2.4089292454900355
750,500,8,0,8,0.01,0.99,2000,20260606,True,26.85615561384288,3.780733332224585,47.08297945852646,9.125902912682918
750,500,8,1,7,0.01,0.99,2000,20260606,True,22.300998180544152,3.4748482709361816,42.88070307454406,8.642940102756686
750,500,8,2,6,0.01,0.99,2000,20260606,True,19.911483849730555,3.398721155084236,38.93821229726243,7.982544314346248
750,500,8,3,5,0.01,0.99,2000,20260606,True,21.710826975898087,3.193292796268383,38.02671466635662,7.399223797288225
750,500,8,4,4,0.01,0.99,2000,20260606,True,17.126129389917804,2.8630143134867057,33.97311502455411,6.799502455079235
750,500,8,5,3,0.01,0.99,2000,20260606,True,18.302487913854996,5.071754220213007,31.092544304348532,6.240557994855198
750,500,8,6,2,0.01,0.99,2000,20260606,True,13.896878234632009,2.538943293801003,24.27818928841165,4.15069563306161
750,500,8,7,1,0.01,0.99,2000,20260606,True,20.66747698141915,3.0039469048452974,20.66747698141915,3.0039469048452974
